population,treatment,temp,period,day,date,rep,status,intensity
1,stable,10,1,3,07-15-2018,1,0,0
1,stable,10,1,3,07-15-2018,2,0,0
1,stable,10,1,3,07-15-2018,3,0,0
1,stable,10,1,3,07-15-2018,4,0,0
1,stable,10,1,3,07-15-2018,5,0,0
1,stable,10,1,3,07-15-2018,6,0,0
1,stable,10,1,3,07-15-2018,7,0,0
1,stable,10,1,3,07-15-2018,8,0,0
1,stable,10,1,3,07-15-2018,9,0,0
1,stable,10,1,3,07-15-2018,10,0,0
1,stable,10,1,3,07-15-2018,11,0,0
1,stable,10,1,3,07-15-2018,12,0,0
2,stable,10,1,3,07-15-2018,1,0,0
2,stable,10,1,3,07-15-2018,2,0,0
2,stable,10,1,3,07-15-2018,3,0,0
2,stable,10,1,3,07-15-2018,4,0,0
2,stable,10,1,3,07-15-2018,5,0,0
2,stable,10,1,3,07-15-2018,6,0,0
2,stable,10,1,3,07-15-2018,7,0,0
2,stable,10,1,3,07-15-2018,8,0,0
2,stable,10,1,3,07-15-2018,9,0,0
2,stable,10,1,3,07-15-2018,10,0,0
2,stable,10,1,3,07-15-2018,11,0,0
2,stable,10,1,3,07-15-2018,12,0,0
3,stable,10,1,3,07-15-2018,1,0,0
3,stable,10,1,3,07-15-2018,2,0,0
3,stable,10,1,3,07-15-2018,3,0,0
3,stable,10,1,3,07-15-2018,4,0,0
3,stable,10,1,3,07-15-2018,5,0,0
3,stable,10,1,3,07-15-2018,6,0,0
3,stable,10,1,3,07-15-2018,7,0,0
3,stable,10,1,3,07-15-2018,8,0,0
3,stable,10,1,3,07-15-2018,9,0,0
3,stable,10,1,3,07-15-2018,10,0,0
3,stable,10,1,3,07-15-2018,11,0,0
3,stable,10,1,3,07-15-2018,12,0,0
4,stable,10,1,3,07-15-2018,1,0,0
4,stable,10,1,3,07-15-2018,2,0,0
4,stable,10,1,3,07-15-2018,3,0,0
4,stable,10,1,3,07-15-2018,4,0,0
4,stable,10,1,3,07-15-2018,5,0,0
4,stable,10,1,3,07-15-2018,6,0,0
4,stable,10,1,3,07-15-2018,7,0,0
4,stable,10,1,3,07-15-2018,8,0,0
4,stable,10,1,3,07-15-2018,9,0,0
4,stable,10,1,3,07-15-2018,10,0,0
4,stable,10,1,3,07-15-2018,11,0,0
4,stable,10,1,3,07-15-2018,12,0,0
5,rising,10,1,3,07-15-2018,1,0,0
5,rising,10,1,3,07-15-2018,2,0,0
5,rising,10,1,3,07-15-2018,3,0,0
5,rising,10,1,3,07-15-2018,4,0,0
5,rising,10,1,3,07-15-2018,5,0,0
5,rising,10,1,3,07-15-2018,6,0,0
5,rising,10,1,3,07-15-2018,7,0,0
5,rising,10,1,3,07-15-2018,8,0,0
5,rising,10,1,3,07-15-2018,9,0,0
5,rising,10,1,3,07-15-2018,10,0,0
5,rising,10,1,3,07-15-2018,11,0,0
