"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",9,14,17,16,17,17,17,13,19,14,23,11,23,12,15,14,18,13,17,14,8,19,20,12,25,18,22,18,19,19,12,10,17,21,14,19,13,17,11,10,13,16,20,19,15,24,14,22,20,25,17,17,14,6,14,23,19,19,15,15,20,16,16,11,20,14,23,16,21,20,15,13,18,11,12,18,20,11,14,19,16,19,14,17,16,13,16,18,26,19,13,19,17,17,17,18,18,12,20,13
"2",9,16,15,15,17,17,17,13,18,14,24,11,23,13,14,13,18,13,18,15,8,20,20,12,25,18,23,20,17,19,12,11,14,20,14,19,14,18,10,10,14,15,20,19,16,24,14,20,20,25,18,18,14,5,14,22,19,18,15,14,18,15,17,12,20,14,20,16,20,22,15,14,18,12,14,18,21,11,13,19,15,18,13,17,16,15,17,17,26,19,13,19,17,17,17,18,18,13,17,13
"3",8,16,14,16,17,19,17,13,19,13,24,11,23,14,14,13,18,12,17,16,8,20,20,13,23,18,21,21,17,20,13,12,14,19,13,18,14,18,10,10,14,16,19,18,15,24,14,21,20,24,18,17,15,4,14,22,19,20,15,14,19,16,17,12,19,14,18,16,19,21,17,15,19,13,14,19,18,10,16,19,16,17,12,17,15,15,17,18,26,20,12,18,18,17,16,17,19,13,12,13
"4",10,16,14,17,16,18,15,12,19,13,22,11,22,14,14,15,18,10,17,17,9,20,21,13,23,19,21,19,15,20,15,11,14,19,13,18,13,18,11,10,15,17,19,19,14,25,14,22,19,23,17,15,15,6,15,22,19,20,16,16,17,14,16,11,18,14,18,14,18,21,17,13,19,13,15,19,21,10,17,19,17,17,12,18,15,15,17,18,25,18,13,18,17,17,18,17,18,12,12,14
"5",14,17,15,18,15,19,15,11,19,14,23,11,21,14,15,13,21,11,17,17,10,21,21,13,24,19,21,18,14,20,15,11,15,19,13,18,13,18,11,9,16,16,22,19,14,23,13,21,20,23,17,16,15,7,15,21,20,19,16,16,16,14,16,11,20,14,19,14,17,21,18,13,18,16,14,18,19,11,17,19,17,16,12,17,15,14,16,18,24,15,13,18,17,17,19,15,17,12,13,14
"6",17,17,15,18,15,17,14,11,17,14,24,11,20,14,14,12,21,11,18,18,12,21,21,13,23,19,20,18,15,22,15,12,15,17,14,18,15,18,12,8,14,15,21,19,14,24,13,21,20,21,18,16,15,7,14,20,19,18,17,14,16,14,17,11,19,15,19,13,16,19,18,13,18,16,14,19,20,11,17,19,17,17,13,17,14,15,18,17,24,16,14,19,17,16,20,16,16,13,12,14
"7",18,17,14,18,16,15,15,10,18,16,24,9,21,15,14,13,21,11,20,18,13,19,21,12,21,18,21,17,15,20,16,13,16,16,14,18,15,18,12,8,15,15,23,19,14,26,14,21,20,21,16,16,15,10,13,20,18,19,17,14,17,16,18,10,21,15,20,13,15,18,17,11,18,16,15,19,20,11,18,19,17,17,13,16,15,16,18,18,23,16,16,20,17,16,20,17,16,12,13,15
"8",19,18,14,18,17,15,14,10,18,16,25,8,22,16,14,13,21,12,20,18,13,21,21,12,21,18,21,17,15,20,16,14,16,17,13,19,15,18,12,9,14,14,22,19,13,27,14,22,21,22,14,15,15,11,14,21,17,18,17,14,17,17,18,10,21,15,19,13,15,18,19,12,17,16,15,18,20,10,18,19,17,16,13,17,15,16,17,17,25,16,16,19,16,16,19,17,17,12,13,15
"9",20,18,14,18,18,15,14,10,18,15,25,8,22,15,14,14,21,13,20,19,14,20,24,12,19,18,21,16,15,20,16,13,17,17,13,18,17,16,12,9,15,16,20,18,13,26,13,22,22,22,14,14,15,11,14,21,18,18,16,15,17,17,16,10,20,16,19,13,15,19,19,13,18,16,15,17,18,11,18,18,16,17,11,16,15,16,16,19,22,16,16,21,15,16,18,17,17,13,12,15
"10",22,18,15,18,18,14,14,11,19,15,24,8,22,15,14,14,22,11,21,20,15,21,23,11,18,18,23,15,17,21,15,13,17,16,12,19,17,16,12,9,15,18,20,18,14,26,13,21,20,22,15,15,17,13,16,20,17,18,16,16,17,16,16,10,20,15,19,13,15,20,20,13,18,16,17,18,18,9,17,18,16,18,11,16,16,16,16,19,22,16,18,20,15,16,18,17,17,13,11,15
"11",22,18,15,17,18,13,14,11,19,14,24,8,22,15,14,13,20,10,21,20,16,21,21,10,18,18,22,13,17,22,15,13,18,16,9,18,18,16,13,9,16,17,19,19,14,26,13,20,20,22,15,16,18,13,17,20,18,18,15,16,19,15,15,9,20,13,18,12,14,19,19,12,18,16,15,17,17,9,18,18,18,18,12,16,14,17,14,16,23,19,17,19,15,16,18,17,16,14,12,15
"12",23,18,14,17,17,15,14,11,19,14,24,9,22,13,16,14,19,9,18,18,16,21,20,10,18,16,21,14,17,22,15,13,18,15,9,17,18,18,12,10,15,18,18,20,15,26,13,21,22,22,15,17,17,12,17,19,18,18,18,16,19,15,15,9,20,14,19,12,14,19,19,13,18,16,14,18,19,10,19,18,20,20,12,16,14,17,14,16,22,19,16,19,13,13,17,16,16,13,14,15
"13",22,17,14,16,16,15,13,12,18,14,24,8,22,14,16,15,18,9,16,18,16,20,20,12,17,16,20,14,19,22,15,13,18,16,10,17,17,19,12,10,15,17,17,21,15,26,13,21,21,22,17,19,17,12,17,19,19,17,17,16,17,14,17,9,18,13,18,14,15,18,19,14,18,17,14,17,19,10,19,17,21,20,12,15,14,17,14,13,23,17,16,19,13,13,16,16,16,13,14,16
"14",22,16,13,16,16,15,14,15,18,15,24,9,21,13,16,15,17,9,16,17,18,21,20,12,18,14,20,15,18,23,15,12,19,16,9,17,17,20,12,11,15,17,18,22,14,26,13,21,21,22,17,19,18,12,17,20,18,16,17,17,18,14,17,9,17,13,17,14,14,19,18,14,17,16,14,16,18,10,18,17,21,20,11,15,15,16,14,12,23,18,15,21,13,15,16,15,16,13,14,16
"15",22,15,11,17,16,15,14,13,19,15,25,10,20,12,17,14,17,9,14,17,18,21,19,11,18,15,20,16,18,24,14,12,21,17,9,16,15,19,13,11,13,18,19,22,15,26,14,20,21,23,17,20,18,12,19,20,18,16,18,17,18,16,17,9,16,13,18,15,14,17,18,14,17,17,14,16,15,11,17,17,20,21,10,15,16,16,14,12,21,18,13,21,13,15,17,13,15,12,15,16
"16",22,14,11,16,16,14,14,13,20,13,25,10,21,13,18,16,16,9,14,19,17,21,21,12,18,13,19,16,19,24,13,11,20,16,9,17,15,20,15,11,14,21,20,21,16,25,15,19,20,24,17,20,17,13,19,21,18,16,18,16,17,16,15,9,16,13,17,15,14,17,18,12,17,17,14,15,15,11,18,17,19,21,11,15,16,19,15,10,22,17,13,21,13,15,18,12,16,12,13,16
"17",22,14,11,16,16,15,13,13,18,14,24,9,22,15,16,16,15,9,14,18,17,19,21,11,18,12,19,16,19,23,12,11,22,15,9,17,18,22,15,11,16,21,20,21,16,26,14,18,19,24,18,20,15,13,20,21,18,15,16,16,17,17,16,8,15,13,17,16,14,17,19,12,17,15,14,15,15,12,17,17,20,22,11,17,17,19,14,9,21,18,13,20,14,14,17,12,16,12,13,14
"18",22,15,11,17,16,15,13,15,18,12,23,10,22,14,17,15,15,10,14,18,17,19,21,11,19,11,19,17,18,24,13,12,20,14,11,16,18,21,14,11,18,21,21,21,16,26,15,19,18,23,18,19,17,12,20,21,18,14,15,16,16,17,16,8,15,13,18,16,14,17,18,12,17,17,14,14,13,12,17,16,19,22,11,16,17,16,14,10,19,17,15,19,15,15,16,12,15,13,13,16
"19",20,15,12,16,16,15,14,13,20,12,22,11,22,15,18,16,17,10,15,18,17,19,20,11,19,11,20,16,17,24,13,12,21,14,13,15,18,22,13,12,19,21,19,23,16,26,15,18,18,24,18,18,17,11,19,20,18,14,16,15,17,18,16,9,15,14,18,16,15,17,18,13,20,16,15,15,13,11,17,16,18,22,11,16,17,16,16,10,20,16,16,19,15,17,17,12,15,14,11,16
"20",20,16,12,15,15,14,14,13,19,12,22,10,22,15,17,16,17,11,14,17,16,18,22,12,19,11,22,18,17,23,13,11,20,15,13,15,20,22,12,13,18,20,20,23,17,26,14,17,19,24,17,19,16,10,19,20,17,15,15,14,16,17,16,9,16,13,18,15,15,19,18,15,22,16,16,14,13,12,17,16,18,20,10,15,16,17,16,11,20,18,17,19,14,17,18,14,16,14,9,15
"21",20,15,12,15,15,14,14,13,20,11,21,10,21,15,17,16,18,11,15,16,17,19,26,14,19,12,20,18,21,22,13,11,20,15,13,15,21,22,13,13,17,21,20,22,16,27,13,17,19,24,17,19,17,10,18,21,17,14,14,15,18,16,16,8,16,12,19,15,15,20,18,14,20,16,18,15,13,13,17,15,17,20,12,14,16,17,15,12,20,18,17,19,14,17,18,14,16,12,10,15
"22",18,14,12,15,15,14,15,14,21,12,20,10,20,14,17,15,18,11,15,17,17,19,26,14,19,12,19,18,21,24,13,12,20,16,13,15,21,22,14,14,18,21,20,19,15,27,14,16,17,26,17,19,18,10,16,22,17,13,14,17,19,17,14,8,17,12,18,16,15,19,19,15,19,18,19,17,13,13,17,15,17,19,10,14,16,16,15,10,22,18,17,19,14,19,17,14,15,13,9,15
"23",17,12,12,16,16,14,15,15,21,12,21,10,20,14,17,15,18,11,15,17,17,19,25,15,20,12,19,16,20,25,10,12,20,17,14,16,20,22,14,15,19,19,20,19,15,25,14,16,16,24,19,19,17,10,17,22,16,13,14,17,19,17,15,9,17,14,17,15,16,17,20,14,19,19,20,17,14,12,16,15,18,19,10,15,15,15,14,10,23,19,15,19,15,19,16,14,15,13,9,15
"24",18,12,11,16,16,13,15,18,19,12,18,12,19,13,16,15,18,13,15,16,18,22,26,16,20,13,21,15,20,23,10,12,20,18,14,17,21,23,14,16,19,19,19,20,13,25,16,16,17,23,19,20,15,10,18,21,17,13,16,18,19,17,14,9,17,14,17,12,16,17,20,16,18,19,20,18,16,12,17,15,19,19,10,16,15,13,15,10,22,20,15,19,15,19,13,14,14,14,9,17
"25",17,11,12,15,16,14,14,18,20,12,19,13,19,13,16,14,17,12,15,17,17,23,26,17,20,13,21,15,19,23,10,13,20,17,14,18,19,24,13,14,19,19,19,17,13,25,17,17,17,24,19,21,15,10,18,21,17,14,16,15,18,17,13,11,16,15,18,12,17,19,21,16,18,20,19,17,17,12,16,15,20,19,10,17,15,11,15,10,20,21,14,19,16,19,13,14,11,15,9,18
"26",17,9,11,15,17,14,14,19,21,12,19,13,19,14,16,14,19,13,15,17,17,22,23,17,20,14,21,16,19,22,10,13,21,19,14,19,18,21,14,14,19,18,20,19,14,25,16,17,17,25,19,20,16,10,18,22,20,13,15,16,18,18,13,11,17,16,18,12,16,20,21,17,18,19,19,18,18,11,15,16,19,17,10,17,15,11,16,10,19,18,15,18,14,18,13,13,10,15,9,18
"27",16,9,10,14,17,14,15,18,21,13,21,12,19,14,16,14,19,13,14,17,17,23,23,15,21,14,21,16,20,22,10,12,21,18,14,18,18,22,14,14,19,18,19,19,13,26,15,18,19,22,19,19,17,12,18,19,20,12,17,17,18,19,13,13,17,16,18,11,15,21,18,19,18,19,19,20,20,11,15,16,19,17,11,19,15,13,17,11,18,18,16,18,14,19,13,13,10,15,8,17
