"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",23,23,13,19,16,20,12,20,13,12,10,16,20,19,26,15,20,10,9,14,16,14,16,15,12,17,20,19,10,17,14,14,27,15,17,26,11,9,21,16,17,22,18,18,16,20,11,18,17,14,13,17,14,13,22,17,10,11,17,21,18,15,10,14,15,29,20,19,18,20,13,9,13,13,15,16,21,14,22,18,26,20,21,14,21,16,13,19,15,15,14,12,20,23,15,16,14,20,23,17
"2",22,22,13,18,16,19,13,19,14,14,12,15,19,20,26,15,19,10,9,14,16,13,17,15,12,19,19,19,12,18,14,16,28,16,15,28,11,9,22,15,17,22,18,18,16,20,12,18,17,13,13,17,15,13,23,18,10,11,18,22,18,14,8,13,13,28,19,19,18,22,14,9,13,13,16,17,20,13,23,18,25,20,20,15,21,17,14,19,14,16,14,13,19,22,15,17,13,20,23,17
"3",22,22,13,18,16,21,14,19,14,15,13,15,18,20,25,16,20,10,9,12,18,12,18,15,11,19,19,17,13,16,14,16,27,17,13,27,11,9,21,14,17,22,18,17,15,21,13,18,17,13,14,20,16,13,22,17,12,11,17,21,18,14,8,12,14,27,17,19,17,22,14,8,12,10,16,16,22,14,22,19,25,19,17,15,22,16,13,19,15,16,13,13,20,20,14,18,13,20,23,16
"4",23,22,13,18,16,22,15,19,14,15,13,16,18,20,23,16,21,11,8,12,18,12,17,16,10,18,19,17,15,16,15,17,26,20,12,26,11,8,21,14,17,21,18,17,17,21,13,21,17,14,14,19,16,14,23,16,11,11,16,21,19,13,8,14,14,27,17,19,18,22,14,9,11,9,15,15,22,14,22,19,24,19,16,16,23,16,13,18,15,16,12,12,20,19,14,17,13,18,22,16
"5",24,22,12,21,16,19,15,21,14,16,14,16,18,20,23,16,21,13,8,10,18,12,17,17,11,16,19,17,15,17,16,15,28,20,12,25,12,7,22,15,17,19,18,17,17,21,13,21,17,14,13,18,16,15,21,15,11,11,17,21,19,14,8,14,13,29,16,20,19,21,15,8,13,9,15,15,23,14,23,19,24,19,16,14,24,17,13,18,15,15,12,11,22,19,14,18,14,18,22,15
"6",24,22,13,21,15,18,16,20,14,15,15,17,16,19,22,16,20,13,8,10,18,12,16,17,11,17,18,16,15,17,16,14,27,19,14,24,13,7,21,15,17,18,18,18,17,21,12,20,17,15,13,18,15,15,20,16,13,11,17,21,19,12,8,15,14,28,16,21,18,21,16,8,13,8,15,16,22,14,23,19,24,19,16,15,24,17,13,18,15,14,13,11,21,18,13,18,14,18,22,16
"7",23,20,12,19,14,18,14,20,14,15,17,17,16,18,22,15,20,13,8,10,19,12,15,17,13,17,18,18,16,16,14,14,27,19,14,24,15,8,21,14,17,19,18,16,17,22,12,20,17,16,11,18,16,15,19,17,13,10,16,21,17,12,6,15,14,28,16,19,19,23,16,10,13,8,15,18,21,14,22,20,23,20,16,15,23,17,13,18,15,15,13,11,19,18,14,18,13,20,23,15
"8",23,19,12,22,15,17,14,19,15,15,18,16,16,19,21,16,20,14,8,10,18,13,17,17,15,16,18,18,16,17,12,12,26,19,14,23,15,8,23,14,17,19,18,14,17,22,11,23,16,17,11,19,15,14,19,16,13,10,16,20,17,12,7,15,15,28,15,18,19,23,15,10,12,8,15,18,21,14,21,18,21,20,15,15,23,17,12,18,16,15,12,10,19,18,14,19,11,19,23,16
"9",24,19,12,20,14,16,14,20,15,15,19,15,17,18,21,18,20,15,8,10,19,13,18,17,16,15,17,18,15,17,12,12,27,19,13,23,15,9,24,13,17,20,18,15,16,23,10,23,18,17,12,19,15,15,19,15,13,11,17,21,17,12,7,17,15,29,15,18,20,23,13,12,11,8,14,17,21,14,20,19,20,19,15,15,23,16,13,20,16,14,13,9,18,17,14,19,11,19,23,16
"10",23,19,12,20,14,15,12,20,15,15,20,15,19,18,20,17,19,15,10,10,19,14,18,18,16,15,18,18,13,15,13,12,27,18,13,23,13,8,25,13,17,20,16,15,16,23,10,21,17,17,13,17,15,15,19,16,13,10,18,21,17,13,7,16,16,29,15,20,21,22,12,11,10,7,14,16,20,15,19,18,20,21,14,13,23,15,13,19,16,15,12,10,17,16,14,18,11,19,23,15
